date,Austin,Dallas,Houston
2026-04-29,19,3,3
2026-04-28,15,2,2
2026-04-27,15,2,2
2026-04-26,15,2,2
2026-04-25,15,2,2
2026-04-24,14,2,2
2026-04-23,13,2,2
2026-04-22,13,2,2
2026-04-21,13,2,2
2026-04-20,13,2,2
2026-04-19,13,1,1
2026-04-18,13,1,1
2026-04-17,13,0,0
2026-04-16,13,0,0
2026-04-15,11,0,0
2026-04-14,11,0,0
2026-04-13,11,0,0
2026-04-12,11,0,0
2026-04-11,11,0,0
2026-04-10,10,0,0
2026-04-09,10,0,0
2026-04-08,10,0,0
2026-04-07,10,0,0
2026-04-06,9,0,0
2026-04-05,9,0,0
2026-04-04,9,0,0
2026-04-03,9,0,0
2026-04-02,9,0,0
2026-04-01,9,0,0
2026-03-31,9,0,0
